"Index","sim","BuyAndHold"
2006-01-29,NA,NA
2006-03-29,0,NA
2006-04-28,-0.0291666666666663,-2.74999999999999
2006-05-29,0.0778254649499281,-0.637362637362637
2006-06-28,-0.0185824263339529,-2.96969696969696
2006-07-29,-0.0522044901271301,-1.18461538461539
2006-08-29,-0.0416666666666671,-2.58333333333325
2006-09-28,-0.018463371054199,-1.31578947368423
2006-10-29,0.00576456310679596,-4.83333333333321
2006-11-28,-0.0461538461538464,-0.17391304347825
2006-12-29,0.0126502213788742,-0.842105263157892
2007-01-29,0.0811992504684573,-10.9999999999996
2007-02-26,0.0491045638359333,2.43333333333334
2007-03-29,0.0297356828193833,-0.932038834951452
2007-04-28,0.0462566844919794,-2.42857142857134
2007-05-29,-0.0881676463071809,9.39999999999998
2007-06-28,-0.0257847533632288,-1.40384615384615
2007-07-29,-0.135212888377445,-2.30952380952381
2007-08-29,0.115103127079175,0.127272727272725
2007-09-28,0.0632458233890212,-1.06451612903226
2007-10-29,0.173961840628508,-5.99999999999957
2007-11-28,-0.0910611854684512,2.25
2007-12-29,0.0257691296344993,-1.78461538461539
2008-01-29,-0.0710074339912842,-1.54901960784314
2008-02-27,0.0507726269315671,-2.99999999999998
2008-03-29,0.129726890756303,-0.464285714285711
2008-04-28,0.0241748024174804,-2.5
2008-05-29,0.0451656831593283,-0.666666666666667
2008-06-28,-0.09728555917481,-3.06666666666668
2008-07-29,-0.0476305027664179,-1.87096774193549
2008-08-29,-0.0805759030058096,-1.55555555555555
2008-09-28,0.0222527472527474,3.80000000000003
2008-10-29,-0.0911045417898417,-3.02777777777777
2008-11-28,-0.0396215257244233,-1.01369863013699
2008-12-29,0.0794334975369455,-1
2009-01-29,-0.0188248716486025,-Inf
2009-02-26,0.0976744186046514,-1.14814814814814
2009-03-29,0.0905720338983049,9.00000000000057
2009-04-28,-0.0900922778047596,1.15000000000001
2009-05-29,-0.00400320256204978,-0.953488372093026
2009-06-28,-0.0166130760986066,-3.75000000000021
2009-07-29,-0.0697547683923706,-6.5454545454544
2009-08-29,-0.0207967193907443,-1.67213114754099
2009-09-28,-0.0870475620699971,-0.560975609756111
2009-10-29,-0.0209698558322405,0.722222222222247
2009-11-28,0.11144578313253,-2.45161290322582
2009-12-29,-0.00210779885576695,-0.666666666666667
2010-01-29,0.0790585395292693,-8.66666666666667
2010-02-26,0.0450223713646529,-1.14782608695652
2010-03-29,0.0155204709660155,-1.41176470588235
2010-04-28,-0.0324110671936759,-9.14285714285734
2010-05-29,0.00544662309368249,-0.403508771929833
2010-06-28,0.105362946912243,-2.58823529411765
2010-07-29,-0.0463121783876499,-0.203703703703698
2010-08-29,-0.00488180883864331,0.604651162790688
2010-09-28,-0.0382132713658667,-0.956521739130433
2010-10-29,0.0220134228187918,33.3333333333321
2010-11-28,-0.0446545836616757,-1.30097087378641
2010-12-29,-0.128402529557328,0.322580645161288
2011-01-29,-0.000946372239747695,-3.26829268292683
2011-02-26,-0.0985159456899277,-0.35483870967743
2011-03-29,0.175831873905429,-1.66666666666667
2011-04-28,-0.0467679475722369,-1.85000000000002
2011-05-29,0.1240625,-4.85294117647049
2011-06-28,-0.0347511815401722,-0.870229007633585
2011-07-29,-0.00374423963133574,-5.05882352941171
2011-08-29,0.20612893899971,-2.14492753623187
2011-09-28,-0.0608820709491849,-1.18987341772152
2011-10-29,0.0382848392036754,1.06666666666664
2011-11-28,-0.0179449360865294,0.225806451612921
2011-12-29,0.107884856070088,-1.1578947368421
2012-01-29,0.00971531857207419,2.33333333333352
2012-02-27,-0.0402774669948535,1.60000000000002
2012-03-29,0.0256470039636276,-1.40384615384615
2012-04-28,0.00795635371675418,-2.19047619047618
2012-05-29,-0.0996842580063148,-1.44000000000001
2012-06-28,-0.0295591182364725,-9.72727272727252
2012-07-29,0.0740836344863189,0.239583333333335
2012-08-29,0.0117760153809179,-1.0672268907563
2012-09-28,0.115439429928742,-0.874999999999973
2012-10-29,-0.0104344122657586,-18.999999999996
2012-11-28,0.0189369485689692,-0.722222222222224
2012-12-29,-0.0449841605068639,6
2013-01-29,0.0183547103051749,-0.714285714285714
